Subject;Group1_Map1_FOnset;Group1_Map1_LOffset;Group1_Map1_NumTF;Group1_Map1_TfCentroid;Group1_Map1_MeanCorr;Group1_Map1_Gev;Group1_Map1_BCorr;Group1_Map1_TfBCorr;Group1_Map1_GfpTfBCorr;Group1_Map1_MaxGfp;Group1_Map1_TfMaxGfp;Group1_Map1_MeanGfp;Group1_Map1_MeanDur;Group1_Map1_TimeCov;Group1_Map1_SegDensity;Group1_Map2_FOnset;Group1_Map2_LOffset;Group1_Map2_NumTF;Group1_Map2_TfCentroid;Group1_Map2_MeanCorr;Group1_Map2_Gev;Group1_Map2_BCorr;Group1_Map2_TfBCorr;Group1_Map2_GfpTfBCorr;Group1_Map2_MaxGfp;Group1_Map2_TfMaxGfp;Group1_Map2_MeanGfp;Group1_Map2_MeanDur;Group1_Map2_TimeCov;Group1_Map2_SegDensity;Group1_Map3_FOnset;Group1_Map3_LOffset;Group1_Map3_NumTF;Group1_Map3_TfCentroid;Group1_Map3_MeanCorr;Group1_Map3_Gev;Group1_Map3_BCorr;Group1_Map3_TfBCorr;Group1_Map3_GfpTfBCorr;Group1_Map3_MaxGfp;Group1_Map3_TfMaxGfp;Group1_Map3_MeanGfp;Group1_Map3_MeanDur;Group1_Map3_TimeCov;Group1_Map3_SegDensity;Group1_Map4_FOnset;Group1_Map4_LOffset;Group1_Map4_NumTF;Group1_Map4_TfCentroid;Group1_Map4_MeanCorr;Group1_Map4_Gev;Group1_Map4_BCorr;Group1_Map4_TfBCorr;Group1_Map4_GfpTfBCorr;Group1_Map4_MaxGfp;Group1_Map4_TfMaxGfp;Group1_Map4_MeanGfp;Group1_Map4_MeanDur;Group1_Map4_TimeCov;Group1_Map4_SegDensity;Group1_Map5_FOnset;Group1_Map5_LOffset;Group1_Map5_NumTF;Group1_Map5_TfCentroid;Group1_Map5_MeanCorr;Group1_Map5_Gev;Group1_Map5_BCorr;Group1_Map5_TfBCorr;Group1_Map5_GfpTfBCorr;Group1_Map5_MaxGfp;Group1_Map5_TfMaxGfp;Group1_Map5_MeanGfp;Group1_Map5_MeanDur;Group1_Map5_TimeCov;Group1_Map5_SegDensity
Subject1;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;73;154;14;113.457374;0.351101;0.014622;0.841099;149;2.063844;2.063844;149;1.687590;6.928203;0.170732;0.024390;81;102;22;92.704503;0.829314;0.058914;0.914609;102;2.276330;2.522034;96;1.983502;22.000000;0.268293;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;103;148;46;125.348920;0.927678;0.242087;0.964326;131;2.905570;3.003214;122;2.595612;46.000000;0.560976;0.012195
Subject2;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;73;154;60;120.312522;0.283376;0.031640;0.676993;127;1.229822;1.317780;131;1.084596;25.980762;0.731707;0.024390;88;109;22;98.765486;0.423941;0.010786;0.693951;92;0.942026;0.988207;94;0.897998;22.000000;0.268293;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject3;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;73;89;17;81.304474;0.577293;0.005346;0.701284;87;1.058760;1.116559;85;0.982286;17.000000;0.207317;0.012195;90;101;12;96.029322;0.757394;0.007274;0.889286;101;1.356474;1.356474;101;1.010212;12.000000;0.146341;0.012195;102;154;53;129.133912;0.945156;0.301929;0.969538;139;2.994243;3.204766;135;2.566253;53.000000;0.646341;0.012195
Subject4;81;104;24;92.958975;0.942250;0.133815;0.976161;102;1.791435;1.795347;89;1.681623;24.000000;0.292683;0.012195;73;154;42;125.667992;0.832392;0.132512;0.926880;124;1.843592;1.843592;124;1.338120;16.492423;0.512195;0.024390;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;105;120;16;112.598230;0.950717;0.098019;0.967698;105;1.769368;1.829269;118;1.763714;16.000000;0.195122;0.012195
Subject5;73;91;19;84.068676;0.686491;0.017253;0.883706;88;2.090375;2.572289;91;1.446850;19.000000;0.231707;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;92;154;63;121.431511;0.933619;0.288729;0.969112;112;3.380011;3.545936;126;2.997636;63.000000;0.768293;0.012195
Subject6;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;133;154;22;143.935365;0.451550;0.011127;0.855857;133;1.258458;1.569041;154;1.113960;22.000000;0.268293;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;73;103;31;90.319541;0.945693;0.126191;0.982946;90;2.025386;2.197945;98;1.721178;31.000000;0.378049;0.012195;104;132;29;117.486040;0.936296;0.105864;0.956916;125;1.827521;1.967207;104;1.739273;29.000000;0.353659;0.012195
Subject7;95;100;6;97.551993;0.426418;0.002541;0.677185;95;0.942316;0.994976;100;0.935314;6.000000;0.073171;0.012195;73;154;14;96.906071;0.031113;0.007421;0.736863;154;0.949551;1.296772;74;1.083990;6.324555;0.170732;0.024390;83;90;8;87.211225;0.713597;0.015392;0.876946;90;1.439941;1.439941;90;1.018503;8.000000;0.097561;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;91;150;54;123.237144;0.824969;0.140619;0.934502;133;1.442474;1.505764;135;1.208214;14.142136;0.658537;0.024390
Subject8;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;140;154;15;146.434799;0.941099;0.035251;0.947597;152;1.505147;2.105528;140;1.768544;15.000000;0.182927;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;73;139;67;108.115552;0.972285;0.325071;0.988517;99;2.559093;3.016993;117;2.436800;67.000000;0.817073;0.012195
Subject9;73;89;17;81.725759;0.925270;0.028848;0.955378;87;1.173152;1.247052;89;0.933149;17.000000;0.207317;0.012195;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;90;154;35;123.997533;0.953816;0.171769;0.978023;101;1.845975;1.851070;102;1.551133;17.146428;0.426829;0.024390;104;133;30;119.099984;0.968665;0.179997;0.977963;105;1.744961;1.912600;124;1.707525;30.000000;0.365854;0.012195
Subject10;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000;110;154;45;132.930111;0.724429;0.094752;0.822713;130;1.598246;1.617826;154;1.437824;45.000000;0.548780;0.012195;73;85;13;79.912848;0.610802;0.006991;0.827252;78;0.785848;0.856033;80;0.682488;13.000000;0.158537;0.012195;86;101;16;94.552405;0.755558;0.034356;0.941406;100;1.754956;1.801975;101;1.228649;16.000000;0.195122;0.012195;102;109;8;105.260176;0.906609;0.031836;0.934083;102;1.801432;1.801432;102;1.571278;8.000000;0.097561;0.012195
