Subject;Group;Map;FOnset;LOffset;NumTF;TfCentroid;MeanCorr;Gev;BCorr;TfBCorr;GfpTfBCorr;MaxGfp;TfMaxGfp;MeanGfp;MeanDur;TimeCov;SegDensity
Subject1;Group2;Map1;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject1;Group2;Map2;73;93;17;85.183398;0.197408;0.001338;0.402887;79;0.996621;1.829916;92;1.299068;8.366600;0.207317;0.024390
Subject1;Group2;Map3;80;106;17;98.309317;0.731683;0.047186;0.955893;105;2.946559;3.036991;106;1.898288;7.211103;0.207317;0.024390
Subject1;Group2;Map4;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject1;Group2;Map5;107;154;48;128.842397;0.935527;0.219451;0.954623;107;3.071122;3.071122;107;2.389603;48.000000;0.585366;0.012195
Subject2;Group2;Map1;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject2;Group2;Map2;73;154;82;113.542008;0.283825;0.043819;0.689793;117;1.237160;1.459509;81;1.138131;82.000000;1.000000;0.012195
Subject2;Group2;Map3;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject2;Group2;Map4;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject2;Group2;Map5;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject3;Group2;Map1;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject3;Group2;Map2;86;93;8;89.294166;0.299709;0.000580;0.487104;93;0.823854;1.067384;86;0.917833;8.000000;0.097561;0.012195
Subject3;Group2;Map3;73;110;30;95.254905;0.723928;0.044176;0.919015;110;2.426052;2.426052;110;1.470025;14.866069;0.365854;0.024390
Subject3;Group2;Map4;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject3;Group2;Map5;111;154;44;129.999431;0.935233;0.252682;0.958201;121;3.292483;3.292483;121;2.601942;44.000000;0.536585;0.012195
Subject4;Group2;Map1;90;136;19;110.461170;0.902600;0.054878;0.962607;99;1.554221;1.554221;99;1.241111;9.486833;0.231707;0.024390
Subject4;Group2;Map2;73;154;35;110.222627;0.612912;0.042031;0.927364;79;1.136867;1.194173;76;0.986349;17.492856;0.426829;0.024390
Subject4;Group2;Map3;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
