Time	Factor 1	Group main effect	Factor 1 * Group
 0.00	0.15680000	0.04780000	0.40080000
 1.00	0.24800000	0.03860000	0.43580000
 2.00	0.35600000	0.03160000	0.47460000
 3.00	0.40400000	0.02720000	0.51720000
 4.00	0.37560000	0.02420000	0.59480000
 5.00	0.31360000	0.02440000	0.66780000
 6.00	0.22560000	0.02640000	0.75260000
 7.00	0.13820000	0.02780000	0.83840000
 8.00	0.08720000	0.03260000	0.90260000
 9.00	0.06680000	0.04080000	0.93180000
10.00	0.05540000	0.04960000	0.94300000
11.00	0.04520000	0.05480000	0.91260000
12.00	0.03580000	0.05240000	0.83580000
13.00	0.02660000	0.04460000	0.70560000
14.00	0.01920000	0.03520000	0.56840000
15.00	0.01060000	0.03040000	0.46000000
16.00	0.00340000	0.02580000	0.32260000
17.00	0.00260000	0.02120000	0.16920000
18.00	0.00280000	0.01720000	0.06020000
19.00	0.00460000	0.01440000	0.02140000
20.00	0.00580000	0.01180000	0.01000000
21.00	0.01000000	0.00940000	0.00340000
22.00	0.01960000	0.00720000	0.00240000
23.00	0.03420000	0.00560000	0.00240000
24.00	0.04840000	0.00360000	0.00580000
25.00	0.05580000	0.00320000	0.01880000
26.00	0.05860000	0.00280000	0.05700000
27.00	0.06060000	0.00260000	0.10240000
28.00	0.07100000	0.00280000	0.11780000
29.00	0.07900000	0.00260000	0.10400000
30.00	0.08200000	0.00240000	0.11520000
31.00	0.07820000	0.00240000	0.16740000
32.00	0.05700000	0.00280000	0.27460000
33.00	0.03900000	0.00380000	0.42320000
34.00	0.03400000	0.00460000	0.51160000
35.00	0.03760000	0.00620000	0.49520000
36.00	0.04400000	0.00880000	0.44280000
37.00	0.05480000	0.01220000	0.43100000
38.00	0.07080000	0.01500000	0.48980000
39.00	0.09360000	0.01780000	0.58420000
40.00	0.11140000	0.01780000	0.70820000
41.00	0.13780000	0.01760000	0.81940000
42.00	0.16720000	0.01620000	0.85420000
43.00	0.18140000	0.01360000	0.84620000
44.00	0.17600000	0.00820000	0.84800000
45.00	0.14020000	0.00640000	0.87040000
46.00	0.10340000	0.00580000	0.81800000
47.00	0.09720000	0.00560000	0.67640000
48.00	0.11240000	0.00680000	0.53280000
49.00	0.16080000	0.01120000	0.46960000
50.00	0.21820000	0.01840000	0.51760000
51.00	0.27540000	0.02980000	0.66160000
52.00	0.31080000	0.05680000	0.80320000
53.00	0.30920000	0.08140000	0.84700000
54.00	0.27980000	0.07980000	0.80460000
55.00	0.25040000	0.04520000	0.79060000
56.00	0.23700000	0.01140000	0.86580000
57.00	0.21520000	0.00140000	0.92980000
58.00	0.18320000	0.00060000	0.94460000
59.00	0.15880000	0.00020000	0.91600000
60.00	0.15440000	0.00020000	0.87440000
61.00	0.16100000	0.00020000	0.82720000
62.00	0.17380000	0.00020000	0.78320000
63.00	0.17360000	0.00020000	0.74980000
64.00	0.14400000	0.00020000	0.72960000
65.00	0.09160000	0.00020000	0.69180000
66.00	0.04860000	0.00020000	0.59180000
67.00	0.03500000	0.00020000	0.46760000
68.00	0.04040000	0.00020000	0.39500000
69.00	0.05540000	0.00020000	0.37200000
70.00	0.07100000	0.00020000	0.34880000
71.00	0.08920000	0.00040000	0.29440000
72.00	0.12060000	0.00040000	0.26480000
73.00	0.18860000	0.00080000	0.28700000
74.00	0.28480000	0.00100000	0.36740000
75.00	0.39460000	0.00080000	0.49900000
76.00	0.50600000	0.00100000	0.64380000
77.00	0.52000000	0.00080000	0.71620000
78.00	0.41820000	0.00040000	0.64880000
79.00	0.28880000	0.00020000	0.53320000
80.00	0.17320000	0.00020000	0.46400000
81.00	0.09460000	0.00020000	0.44660000
82.00	0.06080000	0.00020000	0.45700000
83.00	0.04480000	0.00020000	0.52520000
84.00	0.03520000	0.00020000	0.65280000
85.00	0.03480000	0.00020000	0.72680000
86.00	0.04180000	0.00040000	0.72100000
87.00	0.05760000	0.00060000	0.66560000
88.00	0.07180000	0.00100000	0.55360000
89.00	0.07400000	0.00220000	0.39600000
90.00	0.06400000	0.00800000	0.25740000
91.00	0.05040000	0.02320000	0.16900000
92.00	0.03280000	0.03340000	0.15440000
93.00	0.02220000	0.03700000	0.19320000
94.00	0.02020000	0.03540000	0.26340000
95.00	0.02740000	0.03180000	0.33280000
96.00	0.03760000	0.02580000	0.37980000
97.00	0.04960000	0.01780000	0.37680000
98.00	0.08480000	0.01080000	0.32660000
99.00	0.14760000	0.00640000	0.28760000
100.00	0.26220000	0.00400000	0.29840000
101.00	0.38640000	0.00240000	0.33640000
102.00	0.37340000	0.00160000	0.38740000
103.00	0.25100000	0.00060000	0.48760000
104.00	0.15260000	0.00040000	0.63520000
105.00	0.09780000	0.00040000	0.69460000
106.00	0.07380000	0.00040000	0.59540000
107.00	0.06220000	0.00040000	0.45400000
108.00	0.05480000	0.00040000	0.33900000
109.00	0.05400000	0.00040000	0.25660000
110.00	0.06180000	0.00020000	0.21820000
111.00	0.06800000	0.00020000	0.21920000
112.00	0.05340000	0.00060000	0.25660000
113.00	0.03460000	0.00080000	0.29760000
114.00	0.01840000	0.00080000	0.28600000
115.00	0.00920000	0.00080000	0.22060000
116.00	0.00500000	0.00080000	0.15620000
117.00	0.00300000	0.00180000	0.12060000
118.00	0.00180000	0.00300000	0.10220000
119.00	0.00140000	0.00440000	0.08020000
120.00	0.00200000	0.00560000	0.05740000
121.00	0.00260000	0.00720000	0.05180000
122.00	0.00360000	0.00840000	0.07500000
123.00	0.00800000	0.00820000	0.12980000
124.00	0.02220000	0.00720000	0.18360000
125.00	0.04740000	0.00520000	0.17640000
126.00	0.07500000	0.00540000	0.13420000
127.00	0.10240000	0.00420000	0.08760000
128.00	0.11040000	0.00340000	0.05740000
129.00	0.10740000	0.00280000	0.04080000
130.00	0.09780000	0.00200000	0.03580000
131.00	0.10000000	0.00100000	0.04420000
132.00	0.10220000	0.00060000	0.06260000
133.00	0.09820000	0.00040000	0.06900000
134.00	0.08500000	0.00040000	0.05740000
